frame,landmark,x,y,z,visibility
0,NOSE,0.5032912492752075,0.20030418038368225,-0.30586308240890503,0.999967634677887
0,LEFT_EYE_INNER,0.508405864238739,0.1863085925579071,-0.28730320930480957,0.9999307990074158
0,LEFT_EYE,0.5119346380233765,0.18722961843013763,-0.2876317501068115,0.9999234676361084
0,LEFT_EYE_OUTER,0.5151113867759705,0.18793746829032898,-0.28762584924697876,0.999944806098938
0,RIGHT_EYE_INNER,0.49792012572288513,0.18549005687236786,-0.28845706582069397,0.9999518990516663
0,RIGHT_EYE,0.4946706295013428,0.18594405055046082,-0.2887497544288635,0.9999573230743408
0,RIGHT_EYE_OUTER,0.4907963275909424,0.18706738948822021,-0.2889293134212494,0.9999663829803467
0,LEFT_EAR,0.5205283761024475,0.19639839231967926,-0.17886830866336823,0.9999561905860901
0,RIGHT_EAR,0.4860444962978363,0.1970556676387787,-0.18706849217414856,0.9998993277549744
0,MOUTH_LEFT,0.5094956159591675,0.22124886512756348,-0.2632230818271637,0.9999750256538391
0,MOUTH_RIGHT,0.4969924986362457,0.21861302852630615,-0.26631346344947815,0.9999725818634033
0,LEFT_SHOULDER,0.5498915314674377,0.323032408952713,-0.10540808737277985,0.9999910593032837
0,RIGHT_SHOULDER,0.45671162009239197,0.312361478805542,-0.12070156633853912,0.9999760389328003
0,LEFT_ELBOW,0.5623410940170288,0.45171919465065,-0.055854398757219315,0.9911164045333862
0,RIGHT_ELBOW,0.4417653977870941,0.4465923011302948,-0.11237697303295135,0.968021810054779
0,LEFT_WRIST,0.5636292695999146,0.559661328792572,-0.1343008577823639,0.9934708476066589
0,RIGHT_WRIST,0.43490543961524963,0.5621143579483032,-0.21946077048778534,0.9830367565155029
0,LEFT_PINKY,0.5611543655395508,0.5975390672683716,-0.1620641052722931,0.9894874691963196
0,RIGHT_PINKY,0.4333851933479309,0.6004318594932556,-0.25695928931236267,0.9804269671440125
0,LEFT_INDEX,0.5564851760864258,0.5961467027664185,-0.19436350464820862,0.9902744293212891
0,RIGHT_INDEX,0.4362248480319977,0.599723756313324,-0.28513097763061523,0.9812992215156555
0,LEFT_THUMB,0.5546733736991882,0.5838743448257446,-0.14789648354053497,0.9857560396194458
0,RIGHT_THUMB,0.4392530024051666,0.5879345536231995,-0.23410937190055847,0.9783368110656738
0,LEFT_HIP,0.5289479494094849,0.5702594518661499,0.0033963359892368317,0.9999918341636658
0,RIGHT_HIP,0.4776829183101654,0.5707822442054749,-0.0036218841560184956,0.9999897480010986
0,LEFT_KNEE,0.5321258306503296,0.7447079420089722,0.05195918679237366,0.9907597303390503
0,RIGHT_KNEE,0.4812750220298767,0.744097113609314,0.05994721129536629,0.9720855355262756
0,LEFT_ANKLE,0.5247579216957092,0.8806436061859131,0.2761114239692688,0.9941390752792358
0,RIGHT_ANKLE,0.4783594608306885,0.8799781203269958,0.2641485929489136,0.9830777049064636
0,LEFT_HEEL,0.5171645879745483,0.8938883543014526,0.2921140789985657,0.9395906329154968
0,RIGHT_HEEL,0.4885999262332916,0.8909173011779785,0.2794502079486847,0.929175853729248
0,LEFT_FOOT_INDEX,0.5464102029800415,0.9469152092933655,0.18649330735206604,0.9927420616149902
0,RIGHT_FOOT_INDEX,0.4556095004081726,0.9439111351966858,0.18025536835193634,0.9841606020927429
1,NOSE,0.5006042718887329,0.19870425760746002,-0.3057219088077545,0.9999688267707825
1,LEFT_EYE_INNER,0.5057728886604309,0.18400658667087555,-0.2871243953704834,0.9999330639839172
1,LEFT_EYE,0.509527325630188,0.18448884785175323,-0.28745216131210327,0.999925971031189
1,LEFT_EYE_OUTER,0.5130194425582886,0.1850591003894806,-0.28744471073150635,0.9999465346336365
1,RIGHT_EYE_INNER,0.495356947183609,0.18412479758262634,-0.28763681650161743,0.9999534487724304
1,RIGHT_EYE,0.4922007918357849,0.1847263127565384,-0.28793156147003174,0.9999586343765259
1,RIGHT_EYE_OUTER,0.48878663778305054,0.18595194816589355,-0.2881145179271698,0.9999673366546631
1,LEFT_EAR,0.5192822217941284,0.19454288482666016,-0.17890429496765137,0.9999578595161438
1,RIGHT_EAR,0.48466920852661133,0.19636821746826172,-0.18500088155269623,0.9999023675918579
1,MOUTH_LEFT,0.507006824016571,0.21922752261161804,-0.2632802724838257,0.9999760985374451
1,MOUTH_RIGHT,0.4946387708187103,0.2171049267053604,-0.26547789573669434,0.999973714351654
1,LEFT_SHOULDER,0.5495156049728394,0.3210946321487427,-0.10607022047042847,0.9999910593032837
1,RIGHT_SHOULDER,0.4560052752494812,0.31273165345191956,-0.11978252232074738,0.9999764561653137
1,LEFT_ELBOW,0.5624681115150452,0.45169711112976074,-0.06074974685907364,0.9914531111717224
1,RIGHT_ELBOW,0.4423324465751648,0.4472018778324127,-0.11188755929470062,0.9705341458320618
1,LEFT_WRIST,0.5638885498046875,0.5608834028244019,-0.1393253654241562,0.9937224984169006
1,RIGHT_WRIST,0.4341530203819275,0.5619874000549316,-0.21916362643241882,0.9844196438789368
1,LEFT_PINKY,0.5614774227142334,0.5992094874382019,-0.16684886813163757,0.9898607730865479
1,RIGHT_PINKY,0.43262210488319397,0.6012345552444458,-0.25671619176864624,0.9817954301834106
1,LEFT_INDEX,0.5567720532417297,0.5978276133537292,-0.19969071447849274,0.9906424880027771
1,RIGHT_INDEX,0.43468326330184937,0.600834846496582,-0.28479117155075073,0.9826362729072571
1,LEFT_THUMB,0.5549255609512329,0.5858131647109985,-0.1530761569738388,0.9863289594650269
1,RIGHT_THUMB,0.4378887712955475,0.5889714360237122,-0.2337924689054489,0.9797819256782532
1,LEFT_HIP,0.5284007787704468,0.5711669325828552,0.0024750896263867617,0.9999920725822449
1,RIGHT_HIP,0.4770541191101074,0.5711921453475952,-0.002700451295822859,0.9999901652336121
1,LEFT_KNEE,0.5316876173019409,0.7463498711585999,0.05082451179623604,0.9915031790733337
1,RIGHT_KNEE,0.4805300831794739,0.7460141777992249,0.059839002788066864,0.9744943380355835
1,LEFT_ANKLE,0.5247729420661926,0.8832998275756836,0.2739047110080719,0.994548499584198
1,RIGHT_ANKLE,0.4762335419654846,0.8828522562980652,0.2606871426105499,0.9845847487449646
1,LEFT_HEEL,0.5172048807144165,0.8967945575714111,0.2894990146160126,0.9425879120826721
1,RIGHT_HEEL,0.48690229654312134,0.8953503370285034,0.2751654386520386,0.9331519603729248
1,LEFT_FOOT_INDEX,0.5464593172073364,0.9495400190353394,0.18500006198883057,0.9931826591491699
1,RIGHT_FOOT_INDEX,0.45282211899757385,0.9468405842781067,0.1741274893283844,0.985390841960907
