frame,landmark,x,y,z,visibility
1,NOSE,0.5741293430328369,0.2603984475135803,-0.24541516602039337,0.9998917579650879
1,LEFT_EYE_INNER,0.5803117156028748,0.24453583359718323,-0.23252582550048828,0.9998571872711182
1,LEFT_EYE,0.5839684009552002,0.24379974603652954,-0.2327614277601242,0.9998729825019836
1,LEFT_EYE_OUTER,0.5871061086654663,0.2442685067653656,-0.23271998763084412,0.9998963475227356
1,RIGHT_EYE_INNER,0.5713123083114624,0.2467636913061142,-0.23167312145233154,0.9998283386230469
1,RIGHT_EYE,0.569128692150116,0.24695560336112976,-0.23194190859794617,0.9998440742492676
1,RIGHT_EYE_OUTER,0.5663970112800598,0.24694877862930298,-0.23209747672080994,0.9998508095741272
1,LEFT_EAR,0.592025876045227,0.25195032358169556,-0.13995777070522308,0.9999427795410156
1,RIGHT_EAR,0.5653342008590698,0.25065621733665466,-0.1353110522031784,0.9997021555900574
1,MOUTH_LEFT,0.5810638070106506,0.2757512331008911,-0.20755895972251892,0.999782145023346
1,MOUTH_RIGHT,0.5718328952789307,0.275768905878067,-0.20776906609535217,0.9995723366737366
1,LEFT_SHOULDER,0.6236965656280518,0.3322134017944336,-0.06761615723371506,0.9999959468841553
1,RIGHT_SHOULDER,0.541010320186615,0.34510332345962524,-0.06677066534757614,0.9997461438179016
1,LEFT_ELBOW,0.6396613121032715,0.4318656921386719,-0.031788844615221024,0.9977558255195618
1,RIGHT_ELBOW,0.5290694236755371,0.45249807834625244,-0.05872250348329544,0.14046315848827362
1,LEFT_WRIST,0.6429128646850586,0.5288221836090088,-0.11133136600255966,0.9927080869674683
1,RIGHT_WRIST,0.5191301703453064,0.5474366545677185,-0.1586490422487259,0.11938152462244034
1,LEFT_PINKY,0.6461988687515259,0.5587125420570374,-0.1342078447341919,0.9867371320724487
1,RIGHT_PINKY,0.5138513445854187,0.5786274671554565,-0.18934829533100128,0.13659781217575073
1,LEFT_INDEX,0.6413865685462952,0.560321569442749,-0.1637832373380661,0.9858589172363281
1,RIGHT_INDEX,0.5182470083236694,0.577257513999939,-0.2159774750471115,0.136489599943161
1,LEFT_THUMB,0.6374276280403137,0.5494616031646729,-0.12372858822345734,0.9692962765693665
1,RIGHT_THUMB,0.5230830907821655,0.565256655216217,-0.17247264087200165,0.1383647322654724
1,LEFT_HIP,0.6057616472244263,0.5642902851104736,0.004057261627167463,0.9999851584434509
1,RIGHT_HIP,0.556801974773407,0.5666947364807129,-0.004247402772307396,0.9999572038650513
1,LEFT_KNEE,0.6111070513725281,0.719764769077301,0.01670452579855919,0.9963923096656799
1,RIGHT_KNEE,0.5579209327697754,0.7257074117660522,0.001961812376976013,0.7991628050804138
1,LEFT_ANKLE,0.6138732433319092,0.8711094260215759,0.1396259218454361,0.9978432059288025
1,RIGHT_ANKLE,0.5633372664451599,0.8697554469108582,0.12551100552082062,0.9667644500732422
1,LEFT_HEEL,0.6099231839179993,0.8873913884162903,0.14475710690021515,0.9799644947052002
1,RIGHT_HEEL,0.5676655173301697,0.884961724281311,0.13280101120471954,0.9555816650390625
1,LEFT_FOOT_INDEX,0.6164835691452026,0.9256520867347717,0.024777008220553398,0.9970175623893738
1,RIGHT_FOOT_INDEX,0.5609164237976074,0.9272908568382263,0.018972080200910568,0.9755553603172302
2,NOSE,0.5742987990379333,0.26039814949035645,-0.24605806171894073,0.9998980760574341
2,LEFT_EYE_INNER,0.5805806517601013,0.24453364312648773,-0.2330329716205597,0.9998589158058167
2,LEFT_EYE,0.5842294692993164,0.24379871785640717,-0.2332727015018463,0.9998717904090881
2,LEFT_EYE_OUTER,0.5874344110488892,0.24425098299980164,-0.23322537541389465,0.9998947978019714
2,RIGHT_EYE_INNER,0.5715116262435913,0.24652932584285736,-0.23198986053466797,0.9998373985290527
2,RIGHT_EYE,0.5693152546882629,0.24665001034736633,-0.23226487636566162,0.9998531937599182
2,RIGHT_EYE_OUTER,0.566641628742218,0.24656721949577332,-0.2324252426624298,0.9998603463172913
2,LEFT_EAR,0.5922924280166626,0.25196945667266846,-0.1400480568408966,0.999936044216156
2,RIGHT_EAR,0.5655224323272705,0.2500007450580597,-0.13502857089042664,0.9997140169143677
2,MOUTH_LEFT,0.5812958478927612,0.27548444271087646,-0.20797500014305115,0.9997971057891846
2,MOUTH_RIGHT,0.5718832612037659,0.27536097168922424,-0.20798346400260925,0.9996085166931152
2,LEFT_SHOULDER,0.6239156126976013,0.3322857916355133,-0.06731830537319183,0.9999947547912598
2,RIGHT_SHOULDER,0.5411105751991272,0.3449726700782776,-0.06762094795703888,0.9997684359550476
2,LEFT_ELBOW,0.6398388743400574,0.4316375255584717,-0.03989819437265396,0.9969785213470459
2,RIGHT_ELBOW,0.5302760004997253,0.4526135325431824,-0.06575771421194077,0.22466665506362915
2,LEFT_WRIST,0.6429375410079956,0.5291091203689575,-0.13678202033042908,0.9927510619163513
2,RIGHT_WRIST,0.5197051167488098,0.5471458435058594,-0.17260952293872833,0.20655019581317902
2,LEFT_PINKY,0.6463497877120972,0.5587144494056702,-0.16238534450531006,0.9869089126586914
2,RIGHT_PINKY,0.5146595239639282,0.5779095888137817,-0.20562204718589783,0.22138050198554993
2,LEFT_INDEX,0.641539454460144,0.5600257515907288,-0.19272252917289734,0.9862911701202393
2,RIGHT_INDEX,0.5186969041824341,0.5764205455780029,-0.23078890144824982,0.2214842289686203
2,LEFT_THUMB,0.6375914812088013,0.5494621396064758,-0.1499658226966858,0.9709592461585999
2,RIGHT_THUMB,0.523344874382019,0.5644750595092773,-0.18602225184440613,0.22269798815250397
